x,h
0,622.3660
0.667800,622.2420
1.378401,622.0990
2.046282,622.0000
2.720505,621.9190
3.261683,621.8300
3.827316,621.7070
4.399516,621.5530
4.923624,621.5000
5.161996,621.2130
5.252781,621.1280
5.409832,620.9280
5.590068,620.3470
5.833882,620.3840
5.934604,620.2940
6.228381,620.3210
6.609918,620.3460
7.121349,620.4450
7.376271,620.5160
7.664293,620.6790
8.065009,620.7050
8.345722,620.6320
8.554262,620.4970
8.905951,620.5500
9.142974,620.5040
9.506116,620.4930
9.820366,620.5290
10.041366,620.5370
10.443517,620.4650
10.914917,620.4930
11.206522,620.4620
11.464664,620.4710
11.758489,620.5000
12.113624,620.4870
12.449643,620.5250
12.770275,620.5290
13.212236,620.5300
13.492949,620.5490
13.696284,620.5880
14.020976,620.6250
14.417421,620.6660
14.711253,620.7200
15.079379,620.6310
15.550671,620.7530
15.886162,620.6420
16.302347,620.7140
16.627923,620.7120
16.910329,620.7190
17.251347,620.7530
17.592470,620.6940
17.959655,620.6470
18.243729,620.7200
18.540245,620.6640
18.829123,620.7470
19.224529,620.8550
19.528667,620.9040
19.708202,620.9430
19.829264,621.3100
21.492294,621.4040
22.982785,621.7880
24.362387,621.9850
25.848252,622.1620
27.368323,622.2780
29.049644,622.4250
30.593660,622.5800
