x,h
0,1539.489
0.44154275,1539.437
0.899985767,1539.399
1.384095259,1539.391
1.671152744,1539.48
1.801398666,1539.29
2.062114987,1539.476
2.311988955,1539.637
2.558194154,1539.615
2.742077269,1539.529
2.974258233,1539.355
3.223458955,1538.924
3.361361094,1538.347
3.556194356,1538.219
3.746189093,1538.111
3.999901529,1538.092
4.210141867,1538.201
4.472829895,1538.312
4.800776537,1538.272
5.054090572,1538.245
5.269218441,1538.271
5.536248401,1538.244
5.944602415,1538.306
6.219865925,1538.303
6.562213701,1538.28
6.763014598,1538.431
6.909711564,1538.221
7.167121743,1538.214
7.474492854,1538.085
7.776176463,1538.025
7.991937905,1537.976
8.331024915,1538.03
8.865159729,1538.142
8.952977723,1538.301
9.190112705,1538.461
9.366694131,1538.55
9.599728464,1538.727
9.895799401,1538.949
10.1784299,1539.144
10.44026955,1539.223
10.77687169,1539.443
10.81446158,1539.617
